"","#","Name","Symbol","Market Cap","Price","Circulating Supply","Volume (24h)","% 1h","% 24h","% 7d"
"14",14,"TRX
                        TRON","TRX","$4,403,090,702","$0.066969","65,748,192,475
                        
                        
                            *","$389,521,000","3.43%","-1.93%","-19.17%"
"15",15,"VEN
                        VeChain","VEN","$3,179,871,885","$6.98","455,471,810
                        
                        
                            *","$209,941,000","1.84%","-2.71%","18.07%"
"16",16,"BTG
                        Bitcoin Gold","BTG","$3,033,594,327","$180.71","16,787,086","$85,681,000","1.96%","-2.41%","-19.47%"
"17",17,"ICX
                        ICON","ICX","$2,978,306,284","$7.84","380,045,004
                        
                        
                            *","$69,340,200","1.95%","0.06%","-6.13%"
"18",18,"QTUM
                        Qtum","QTUM","$2,882,336,914","$39.04","73,835,836
                        
                        
                            *","$406,425,000","2.14%","-3.36%","-1.80%"
"19",19,"ETC
                        Ethereum Classic","ETC","$2,832,623,691","$28.50","99,401,117","$188,028,000","2.71%","-2.28%","-12.20%"
"20",20,"LSK
                        Lisk","LSK","$2,485,586,397","$21.17","117,406,352
                        
                        
                            *","$82,378,400","3.25%","-2.78%","-9.12%"
"21",21,"XRB
                        RaiBlocks","XRB","$1,991,862,051","$14.95","133,248,289
                        
                        
                            *","$19,442,000","6.71%","15.06%","-18.04%"
"22",22,"PPT
                        Populous","PPT","$1,979,782,046","$53.50","37,004,027
                        
                        
                            *","$4,521,000","1.52%","10.05%","25.76%"
"23",23,"OMG
                        OmiseGO","OMG","$1,645,017,773","$16.12","102,042,552
                        
                        
                            *","$133,406,000","2.00%","-5.20%","-12.52%"
"24",24,"USDT
                        Tether","USDT","$1,612,815,847","$0.996740","1,618,090,823
                        
                        
                            *","$2,849,870,000","-0.47%","-0.04%","-1.60%"
"25",25,"STEEM
                        Steem","STEEM","$1,533,090,435","$6.19","247,527,764
                        
                        
                            *","$215,266,000","2.07%","-5.38%","30.75%"
"26",26,"ZEC
                        Zcash","ZEC","$1,416,658,921","$450.93","3,141,631","$99,727,300","1.66%","-1.63%","-14.11%"
"27",27,"XVG
                        Verge","XVG","$1,299,916,651","$0.089540","14,517,671,385","$63,754,800","3.32%","-1.73%","-18.92%"
"28",28,"BNB
                        Binance Coin","BNB","$1,284,330,397","$12.97","99,014,000
                        
                        
                            *","$113,216,000","2.35%","-2.03%","-13.82%"
"29",29,"BCN
                        Bytecoin","BCN","$1,267,187,852","$0.006899","183,687,683,359","$8,048,140","2.77%","6.19%","-9.48%"
"30",30,"SC
                        Siacoin","SC","$1,217,150,097","$0.038768","31,396,146,174","$54,852,700","2.58%","1.17%","-22.70%"
"31",31,"STRAT
                        Stratis","STRAT","$1,188,243,207","$12.04","98,715,893
                        
                        
                            *","$14,656,900","1.80%","-2.64%","-20.75%"
"32",32,"BTS
                        BitShares","BTS","$1,150,925,022","$0.441397","2,607,460,000
                        
                        
                            *","$42,075,100","4.73%","4.45%","17.42%"
"33",33,"SNT
                        Status","SNT","$999,107,166","$0.287887","3,470,483,788
                        
                        
                            *","$183,724,000","2.77%","-3.85%","-13.19%"
"34",34,"ARDR
                        Ardor","ARDR","$964,919,626","$0.965886","998,999,495
                        
                        
                            *","$33,850,800","1.35%","-10.74%","-31.88%"
"35",35,"REP
                        Augur","REP","$922,471,000","$83.86","11,000,000
                        
                        
                            *","$12,314,600","2.12%","-3.60%","11.48%"
